Flight Number,Origin,Destination,Departure Time,Estimated Arrival Time
1,JFK,LHR,Wed 08:24PM EST,Thu 07:33AM GMT
10,MSP,LHR,Wed 05:27PM CST,Thu 06:20AM GMT
101,ATL,EZE,Wed 09:00PM EST,Thu 08:25AM -03
1011,ATL,BDL,Wed 09:57PM EST,Wed 11:41PM EST
1020,CLT,SLC,Wed 07:05PM EST,Wed 08:52PM MST
1022,IAH,SLC,Wed 08:04PM CST,Wed 09:37PM MST
104,GRU,ATL,Wed 11:10PM -03,Thu 06:19AM EST
105,ATL,GRU,Wed 06:09PM EST,Thu 04:59AM -03
106,JFK,FRA,Wed 07:07PM EST,Thu 08:15AM CET
1074,SEA,ORD,Wed 06:04PM PST,Wed 11:26PM CST
1092,DTW,PHX,Wed 08:00PM EST,Wed 09:48PM MST
1093,SFO,SLC,Wed 07:22PM PST,Wed 09:46PM MST
1097,ATL,MSN,Wed 10:18PM EST,Wed 10:55PM CST
110,EZE,ATL,Wed 09:21PM -03,Thu 05:03AM EST
1111,LAX,SAT,Wed 06:45PM PST,Wed 11:13PM CST
1115,MSY,LAX,Wed 07:40PM CST,Wed 09:36PM PST
1116,DTW,IAH,Wed 08:28PM EST,Wed 10:23PM CST
1128,IAH,LGA,Wed 07:50PM CST,Wed 11:26PM EST
1163,MSP,SNA,Wed 06:31PM CST,Wed 07:58PM PST
1165,LGA,MCO,Wed 08:31PM EST,Wed 10:38PM EST
1198,ATL,MCO,Wed 10:14PM EST,Wed 11:13PM EST
1239,LGA,FLL,Wed 08:21PM EST,Wed 10:38PM EST
1244,LGA,ORD,Wed 08:58PM EST,Wed 09:57PM CST
1246,MSP,BOS,Wed 08:18PM CST,Wed 11:22PM EST
1251,ATL,TUS,Wed 07:59PM EST,Wed 09:30PM MST
1259,LAX,MSY,Wed 05:41PM PST,Wed 10:51PM CST
126,JFK,MAD,Wed 07:49PM EST,Thu 08:32AM CET
1260,MSP,PHX,Wed 09:30PM CST,Wed 11:19PM MST
1266,SLC,MIA,Wed 05:23PM MST,Wed 11:47PM EST
1270,SEA,MCI,Wed 06:26PM PST,Wed 11:16PM CST
1272,EWR,SLC,Wed 07:07PM EST,Wed 09:36PM MST
1275,MSP,LGA,Wed 08:09PM CST,Wed 11:06PM EST
1280,ATL,MSP,Wed 08:43PM EST,Wed 09:42PM CST
1281,SEA,SLC,Wed 07:24PM PST,Wed 09:49PM MST
1284,ATL,IAH,Wed 10:17PM EST,Wed 11:28PM CST
1294,DEN,MSP,Wed 07:32PM MST,Wed 09:57PM CST
130,ATL,MUC,Wed 06:05PM EST,Thu 08:41AM CET
1306,DTW,DFW,Wed 09:19PM EST,Wed 10:51PM CST
1310,ATL,MSP,Wed 10:20PM EST,Wed 11:25PM CST
1314,ATL,CHS,Wed 10:15PM EST,Wed 10:55PM EST
1317,IAH,MSP,Wed 08:44PM CST,Wed 10:46PM CST
132,DTW,AMS,Wed 05:20PM EST,Thu 06:25AM CET
1320,LGA,IAH,Wed 07:12PM EST,Wed 10:20PM CST
1324,ATL,MIA,Wed 10:26PM EST,Wed 11:52PM EST
1325,SLC,MCO,Wed 06:13PM MST,Thu 12:16AM EST
1331,MSP,SJC,Wed 06:36PM CST,Wed 08:09PM PST
1334,LAX,MCI,Wed 05:07PM PST,Wed 09:49PM CST
134,DTW,AMS,Wed 06:38PM EST,Thu 08:00AM CET
1353,SLC,IAD,Wed 06:08PM MST,Wed 11:34PM EST
136,DTW,AMS,Wed 08:45PM EST,Thu 09:54AM CET
1365,DTW,SAT,Wed 08:29PM EST,Wed 10:25PM CST
1376,MSP,MSN,Wed 09:22PM CST,Wed 09:52PM CST
1387,BOS,AUS,Wed 08:02PM EST,Wed 11:12PM CST
1390,MSP,MCO,Wed 06:57PM CST,Wed 10:43PM EST
1398,MSP,SMF,Wed 07:28PM CST,Wed 08:44PM PST
14,ATL,FRA,Wed 06:57PM EST,Thu 09:23AM CET
140,JFK,BRU,Wed 07:53PM EST,Thu 08:33AM CET
1419,DTW,DEN,Wed 08:32PM EST,Wed 09:07PM MST
142,SEA,AMS,Wed 02:10PM PST,Thu 08:04AM CET
1420,MSP,EWR,Wed 08:05PM CST,Wed 11:04PM EST
1423,ATL,ORD,Wed 10:09PM EST,Wed 10:42PM CST
1429,RSW,BOS,Wed 08:42PM EST,Wed 11:24PM EST
1433,LGA,BOS,Wed 10:11PM EST,Wed 10:42PM EST
1447,JFK,MCO,Wed 08:37PM EST,Wed 10:46PM EST
1450,MIA,JFK,Wed 08:38PM EST,Wed 10:56PM EST
146,SCL,ATL,Wed 11:35PM -03,Thu 06:20AM EST
1465,BOS,SEA,Wed 07:29PM EST,Wed 10:32PM PST
147,ATL,SCL,Wed 08:20PM EST,Thu 06:43AM -03
1492,ORD,SLC,Wed 07:52PM CST,Wed 09:40PM MST
1514,JFK,PBI,Wed 08:17PM EST,Wed 10:36PM EST
1516,MSP,DFW,Wed 08:25PM CST,Wed 10:32PM CST
1523,ORD,MSP,Wed 08:49PM CST,Wed 09:45PM CST
1528,ATL,TUL,Wed 09:48PM EST,Wed 10:21PM CST
1539,MSP,SAN,Wed 06:34PM CST,Wed 07:50PM PST
154,BOS,DUB,Wed 09:55PM EST,Thu 08:24AM GMT
1542,LAS,MSP,Wed 06:36PM PST,Wed 11:17PM CST
