Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
DAL1,B764,John F Kennedy Intl (KJFK),London Heathrow (LHR / EGLL),Wed 08:24PM EST,Thu 07:33AM GMT
DAL10,A333,Minneapolis/St Paul Intl (KMSP),London Heathrow (LHR / EGLL),Wed 05:27PM CST,Thu 06:20AM GMT
DAL101,B764,Hartsfield-Jackson Intl (KATL),Ministro Pistarini Int'l (EZE / SAEZ),Wed 09:00PM EST,Thu 08:25AM -03
DAL1011,B739,Hartsfield-Jackson Intl (KATL),Bradley Intl (KBDL),Wed 09:57PM EST,Wed 11:41PM EST
DAL1020,B739,Charlotte/Douglas Intl (KCLT),Salt Lake City Intl (KSLC),Wed 07:05PM EST,Wed 08:52PM MST
DAL1022,BCS1,Houston Bush Int'ctl (KIAH),Salt Lake City Intl (KSLC),Wed 08:04PM CST,Wed 09:37PM MST
DAL104,A333,São Paulo-Guarulhos Int'l (GRU / SBGR),Hartsfield-Jackson Intl (KATL),Wed 11:10PM -03,Thu 06:19AM EST
DAL105,A333,Hartsfield-Jackson Intl (KATL),São Paulo-Guarulhos Int'l (GRU / SBGR),Wed 06:09PM EST,Thu 04:59AM -03
DAL106,B764,John F Kennedy Intl (KJFK),Frankfurt Int'l (FRA / EDDF),Wed 07:07PM EST,Thu 08:15AM CET
DAL1074,B738,Seattle-Tacoma Intl (KSEA),Chicago O'Hare Intl (KORD),Wed 06:04PM PST,Wed 11:26PM CST
DAL1092,B753,Detroit Metro Wayne Co (KDTW),Phoenix Sky Harbor Intl (KPHX),Wed 08:00PM EST,Wed 09:48PM MST
DAL1093,BCS3,San Francisco Int'l (KSFO),Salt Lake City Intl (KSLC),Wed 07:22PM PST,Wed 09:46PM MST
DAL1097,B712,Hartsfield-Jackson Intl (KATL),Dane Co Rgnl (KMSN),Wed 10:18PM EST,Wed 10:55PM CST
DAL110,B764,Ministro Pistarini Int'l (EZE / SAEZ),Hartsfield-Jackson Intl (KATL),Wed 09:21PM -03,Thu 05:03AM EST
DAL1111,A319,Los Angeles Intl (KLAX),San Antonio Intl (KSAT),Wed 06:45PM PST,Wed 11:13PM CST
DAL1115,B739,New Orleans Intl (KMSY),Los Angeles Intl (KLAX),Wed 07:40PM CST,Wed 09:36PM PST
DAL1116,A319,Detroit Metro Wayne Co (KDTW),Houston Bush Int'ctl (KIAH),Wed 08:28PM EST,Wed 10:23PM CST
DAL1128,BCS1,Houston Bush Int'ctl (KIAH),LaGuardia (KLGA),Wed 07:50PM CST,Wed 11:26PM EST
DAL1163,BCS3,Minneapolis/St Paul Intl (KMSP),John Wayne (KSNA),Wed 06:31PM CST,Wed 07:58PM PST
DAL1165,A321,LaGuardia (KLGA),Orlando Intl (KMCO),Wed 08:31PM EST,Wed 10:38PM EST
DAL1198,B753,Hartsfield-Jackson Intl (KATL),Orlando Intl (KMCO),Wed 10:14PM EST,Wed 11:13PM EST
DAL1239,A321,LaGuardia (KLGA),Fort Lauderdale Intl (KFLL),Wed 08:21PM EST,Wed 10:38PM EST
DAL1244,BCS1,LaGuardia (KLGA),Chicago O'Hare Intl (KORD),Wed 08:58PM EST,Wed 09:57PM CST
DAL1246,A321,Minneapolis/St Paul Intl (KMSP),Boston Logan Intl (KBOS),Wed 08:18PM CST,Wed 11:22PM EST
DAL1251,A321,Hartsfield-Jackson Intl (KATL),Tucson Intl (KTUS),Wed 07:59PM EST,Wed 09:30PM MST
DAL1259,B739,Los Angeles Intl (KLAX),New Orleans Intl (KMSY),Wed 05:41PM PST,Wed 10:51PM CST
DAL126,B763,John F Kennedy Intl (KJFK),Adolfo Suárez Madrid-Barajas (MAD / LEMD),Wed 07:49PM EST,Thu 08:32AM CET
DAL1260,B753,Minneapolis/St Paul Intl (KMSP),Phoenix Sky Harbor Intl (KPHX),Wed 09:30PM CST,Wed 11:19PM MST
DAL1266,B739,Salt Lake City Intl (KSLC),Miami Intl (KMIA),Wed 05:23PM MST,Wed 11:47PM EST
DAL1270,BCS1,Seattle-Tacoma Intl (KSEA),Kansas City Intl (KMCI),Wed 06:26PM PST,Wed 11:16PM CST
DAL1272,B739,Newark Liberty Intl (KEWR),Salt Lake City Intl (KSLC),Wed 07:07PM EST,Wed 09:36PM MST
DAL1275,A320,Minneapolis/St Paul Intl (KMSP),LaGuardia (KLGA),Wed 08:09PM CST,Wed 11:06PM EST
DAL1280,B752,Hartsfield-Jackson Intl (KATL),Minneapolis/St Paul Intl (KMSP),Wed 08:43PM EST,Wed 09:42PM CST
DAL1281,B739,Seattle-Tacoma Intl (KSEA),Salt Lake City Intl (KSLC),Wed 07:24PM PST,Wed 09:49PM MST
DAL1284,A321,Hartsfield-Jackson Intl (KATL),Houston Bush Int'ctl (KIAH),Wed 10:17PM EST,Wed 11:28PM CST
DAL1294,A321,Denver Intl (KDEN),Minneapolis/St Paul Intl (KMSP),Wed 07:32PM MST,Wed 09:57PM CST
DAL130,B763,Hartsfield-Jackson Intl (KATL),Munich Int'l (MUC / EDDM),Wed 06:05PM EST,Thu 08:41AM CET
DAL1306,A319,Detroit Metro Wayne Co (KDTW),Dallas-Fort Worth Intl (KDFW),Wed 09:19PM EST,Wed 10:51PM CST
DAL1310,A321,Hartsfield-Jackson Intl (KATL),Minneapolis/St Paul Intl (KMSP),Wed 10:20PM EST,Wed 11:25PM CST
DAL1314,A321,Hartsfield-Jackson Intl (KATL),Charleston Intl/AFB (KCHS),Wed 10:15PM EST,Wed 10:55PM EST
DAL1317,BCS3,Houston Bush Int'ctl (KIAH),Minneapolis/St Paul Intl (KMSP),Wed 08:44PM CST,Wed 10:46PM CST
DAL132,A332,Detroit Metro Wayne Co (KDTW),Amsterdam Schiphol (AMS / EHAM),Wed 05:20PM EST,Thu 06:25AM CET
DAL1320,BCS1,LaGuardia (KLGA),Houston Bush Int'ctl (KIAH),Wed 07:12PM EST,Wed 10:20PM CST
DAL1324,B752,Hartsfield-Jackson Intl (KATL),Miami Intl (KMIA),Wed 10:26PM EST,Wed 11:52PM EST
DAL1325,A321,Salt Lake City Intl (KSLC),Orlando Intl (KMCO),Wed 06:13PM MST,Thu 12:16AM EST
DAL1331,BCS1,Minneapolis/St Paul Intl (KMSP),San Jose Int'l (KSJC),Wed 06:36PM CST,Wed 08:09PM PST
DAL1334,B738,Los Angeles Intl (KLAX),Kansas City Intl (KMCI),Wed 05:07PM PST,Wed 09:49PM CST
DAL134,A333,Detroit Metro Wayne Co (KDTW),Amsterdam Schiphol (AMS / EHAM),Wed 06:38PM EST,Thu 08:00AM CET
DAL1353,B738,Salt Lake City Intl (KSLC),Washington Dulles Intl (KIAD),Wed 06:08PM MST,Wed 11:34PM EST
DAL136,A359,Detroit Metro Wayne Co (KDTW),Amsterdam Schiphol (AMS / EHAM),Wed 08:45PM EST,Thu 09:54AM CET
DAL1365,A320,Detroit Metro Wayne Co (KDTW),San Antonio Intl (KSAT),Wed 08:29PM EST,Wed 10:25PM CST
DAL1376,B739,Minneapolis/St Paul Intl (KMSP),Dane Co Rgnl (KMSN),Wed 09:22PM CST,Wed 09:52PM CST
DAL1387,BCS1,Boston Logan Intl (KBOS),Austin-Bergstrom Intl (KAUS),Wed 08:02PM EST,Wed 11:12PM CST
DAL1390,B753,Minneapolis/St Paul Intl (KMSP),Orlando Intl (KMCO),Wed 06:57PM CST,Wed 10:43PM EST
DAL1398,B739,Minneapolis/St Paul Intl (KMSP),Sacramento Intl (KSMF),Wed 07:28PM CST,Wed 08:44PM PST
DAL14,A332,Hartsfield-Jackson Intl (KATL),Frankfurt Int'l (FRA / EDDF),Wed 06:57PM EST,Thu 09:23AM CET
DAL140,B763,John F Kennedy Intl (KJFK),Brussels (BRU / EBBR),Wed 07:53PM EST,Thu 08:33AM CET
DAL1419,A321,Detroit Metro Wayne Co (KDTW),Denver Intl (KDEN),Wed 08:32PM EST,Wed 09:07PM MST
