Flight Number,Origin,Destination,Departure Time,Estimated Arrival Time
1,FLL,ORD,Wed 09:26PM EST,Wed 11:10PM CST
1015,MCO,DFW,Wed 10:55PM EST,Thu 12:35AM CST
1023,LAX,ORD,Wed 05:16PM PST,Wed 10:49PM CST
1035,EWR,SJU,Wed 10:41PM EST,Thu 02:57AM AST
1042,SJU,MCO,Wed 11:42PM AST,Thu 01:19AM EST
1085,ATL,CLE,Wed 11:03PM EST,Thu 12:09AM EST
1109,MCO,IND,Wed 11:01PM EST,Thu 12:58AM EST
1141,FLL,GYE,Wed 07:49PM EST,Wed 11:40PM -05
1153,RSW,CLE,Wed 09:35PM EST,Wed 11:45PM EST
1188,LAS,DTW,Wed 06:45PM PST,Thu 01:07AM EST
1198,MCO,MCI,Wed 09:41PM EST,Wed 11:10PM CST
1212,MCO,PHL,Wed 09:53PM EST,Wed 11:53PM EST
1232,FLL,ATL,Wed 09:56PM EST,Wed 11:34PM EST
1296,MCI,LAS,Wed 10:09PM CST,Wed 10:49PM PST
1301,ATL,LAX,Wed 08:37PM EST,Wed 09:53PM PST
1314,FLL,DEN,Wed 08:58PM EST,Wed 10:37PM MST
1362,LAS,ATL,Wed 05:35PM PST,Thu 12:08AM EST
1436,BWI,ATL,Wed 10:21PM EST,Wed 11:50PM EST
1442,MSY,MIA,Wed 08:49PM CST,Wed 11:12PM EST
1443,MIA,MSY,Wed 10:20PM EST,Wed 10:56PM CST
1505,FLL,PIT,Wed 09:00PM EST,Wed 11:13PM EST
153,FLL,SAL,Wed 11:04PM EST,Thu 12:39AM CST
1561,DTW,ATL,Wed 09:53PM EST,Wed 11:18PM EST
1567,MCO,SDQ,Wed 09:55PM EST,Thu 01:05AM AST
1588,LAS,PDX,Wed 07:41PM PST,Wed 09:44PM PST
1653,BUR,LAS,Wed 07:39PM PST,Wed 08:17PM PST
1679,LAS,IAH,Wed 06:42PM PST,Wed 11:05PM CST
169,MSP,LAS,Wed 09:59PM CST,Wed 10:57PM PST
1717,MCO,SAT,Wed 10:47PM EST,Thu 12:10AM CST
1777,FLL,EWR,Wed 08:52PM EST,Wed 11:15PM EST
1786,ORD,LAX,Wed 08:43PM CST,Wed 10:35PM PST
182,LAS,ORD,Wed 06:38PM PST,Wed 11:40PM CST
1846,DEN,IAH,Wed 07:15PM MST,Wed 10:10PM CST
1884,DTW,MSY,Wed 11:08PM EST,Thu 12:31AM CST
1900,BQN,MCO,Wed 10:07PM AST,Wed 11:30PM EST
1967,DFW,FLL,Wed 08:16PM CST,Wed 11:33PM EST
199,MCO,IAH,Wed 09:35PM EST,Wed 10:59PM CST
2078,MCO,BWI,Wed 10:45PM EST,Thu 12:33AM EST
2158,MCO,ACY,Wed 10:07PM EST,Thu 12:01AM EST
218,MCO,AUS,Wed 10:05PM EST,Wed 11:37PM CST
218,MCO,AUS,Wed 10:05PM EST,Wed 11:37PM CST
2235,LAS,SAN,Wed 07:49PM PST,Wed 08:39PM PST
231,FLL,PHX,Wed 08:01PM EST,Wed 10:32PM MST
262,PHL,DFW,Wed 08:43PM EST,Wed 10:59PM CST
290,DFW,LAS,Wed 09:15PM CST,Wed 09:39PM PST
2911,PHL,SJU,Wed 09:14PM EST,Thu 01:15AM AST
2913,BOS,SJU,Wed 08:44PM EST,Thu 01:06AM AST
2955,FLL,DFW,Wed 08:40PM EST,Wed 10:36PM CST
297,FLL,BOS,Wed 09:42PM EST,Thu 12:16AM EST
3054,DTW,MIA,Wed 09:07PM EST,Wed 11:42PM EST
310,LAX,FLL,Wed 04:21PM PST,Wed 11:49PM EST
3119,MIA,EWR,Wed 09:56PM EST,Thu 12:15AM EST
312,DFW,MCO,Wed 08:34PM CST,Wed 11:50PM EST
3144,MIA,IAH,Wed 10:08PM EST,Wed 11:29PM CST
3165,ORD,MIA,Wed 09:13PM CST,Thu 12:55AM EST
352,FLL,IAH,Wed 09:53PM EST,Wed 11:04PM CST
362,IAH,ATL,Wed 09:54PM CST,Thu 12:54AM EST
371,FLL,BQN,Wed 10:53PM EST,Thu 01:54AM AST
3801,MCO,CLT,Wed 10:31PM EST,Wed 11:50PM EST
3907,AUS,DTW,Wed 08:16PM CST,Wed 11:25PM EST
3912,LAS,LAX,Wed 07:32PM PST,Wed 08:18PM PST
395,PHL,LAS,Wed 09:19PM EST,Wed 10:36PM PST
423,LAS,SLC,Wed 07:40PM PST,Wed 09:39PM MST
