Flight Number,Type,Origin,Destination,Departure Time,Estimated Arrival Time
NKS1,A321,Fort Lauderdale Intl (KFLL),Chicago O'Hare Intl (KORD),Wed 09:26PM EST,Wed 11:10PM CST
NKS1015,A321,Orlando Intl (KMCO),Dallas-Fort Worth Intl (KDFW),Wed 10:55PM EST,Thu 12:35AM CST
NKS1023,A320,Los Angeles Intl (KLAX),Chicago O'Hare Intl (KORD),Wed 05:16PM PST,Wed 10:49PM CST
NKS1035,A320,Newark Liberty Intl (KEWR),Luis Munoz Marin Intl (SJU / TJSJ),Wed 10:41PM EST,Thu 02:57AM AST
NKS1042,A321,Luis Munoz Marin Intl (SJU / TJSJ),Orlando Intl (KMCO),Wed 11:42PM AST,Thu 01:19AM EST
NKS1085,A20N,Hartsfield-Jackson Intl (KATL),Cleveland-Hopkins Intl (KCLE),Wed 11:03PM EST,Thu 12:09AM EST
NKS1109,A320,Orlando Intl (KMCO),Indianapolis Intl (KIND),Wed 11:01PM EST,Thu 12:58AM EST
NKS1141,A20N,Fort Lauderdale Intl (KFLL),Jose Joaquin de Olmedo Int'l (GYE / SEGU),Wed 07:49PM EST,Wed 11:40PM -05
NKS1153,A20N,Southwest Florida Intl (KRSW),Cleveland-Hopkins Intl (KCLE),Wed 09:35PM EST,Wed 11:45PM EST
NKS1188,A321,Harry Reid Intl (KLAS),Detroit Metro Wayne Co (KDTW),Wed 06:45PM PST,Thu 01:07AM EST
NKS1198,A319,Orlando Intl (KMCO),Kansas City Intl (KMCI),Wed 09:41PM EST,Wed 11:10PM CST
NKS1212,A20N,Orlando Intl (KMCO),Philadelphia Intl (KPHL),Wed 09:53PM EST,Wed 11:53PM EST
NKS1232,A20N,Fort Lauderdale Intl (KFLL),Hartsfield-Jackson Intl (KATL),Wed 09:56PM EST,Wed 11:34PM EST
NKS1296,A321,Kansas City Intl (KMCI),Harry Reid Intl (KLAS),Wed 10:09PM CST,Wed 10:49PM PST
NKS1301,A20N,Hartsfield-Jackson Intl (KATL),Los Angeles Intl (KLAX),Wed 08:37PM EST,Wed 09:53PM PST
NKS1314,A20N,Fort Lauderdale Intl (KFLL),Denver Intl (KDEN),Wed 08:58PM EST,Wed 10:37PM MST
NKS1362,A319,Harry Reid Intl (KLAS),Hartsfield-Jackson Intl (KATL),Wed 05:35PM PST,Thu 12:08AM EST
NKS1436,A319,Baltimore/Washington Intl (KBWI),Hartsfield-Jackson Intl (KATL),Wed 10:21PM EST,Wed 11:50PM EST
NKS1442,A20N,New Orleans Intl (KMSY),Miami Intl (KMIA),Wed 08:49PM CST,Wed 11:12PM EST
NKS1443,A20N,Miami Intl (KMIA),New Orleans Intl (KMSY),Wed 10:20PM EST,Wed 10:56PM CST
NKS1505,A20N,Fort Lauderdale Intl (KFLL),Pittsburgh Intl (KPIT),Wed 09:00PM EST,Wed 11:13PM EST
NKS153,A321,Fort Lauderdale Intl (KFLL),El Salvador Int'l (SAL / MSLP),Wed 11:04PM EST,Thu 12:39AM CST
NKS1561,A20N,Detroit Metro Wayne Co (KDTW),Hartsfield-Jackson Intl (KATL),Wed 09:53PM EST,Wed 11:18PM EST
NKS1567,A319,Orlando Intl (KMCO),Las Americas (SDQ / MDSD),Wed 09:55PM EST,Thu 01:05AM AST
NKS1588,A20N,Harry Reid Intl (KLAS),Portland Intl (KPDX),Wed 07:41PM PST,Wed 09:44PM PST
NKS1653,A20N,Bob Hope (KBUR),Harry Reid Intl (KLAS),Wed 07:39PM PST,Wed 08:17PM PST
NKS1679,A320,Harry Reid Intl (KLAS),Houston Bush Int'ctl (KIAH),Wed 06:42PM PST,Wed 11:05PM CST
NKS169,A20N,Minneapolis/St Paul Intl (KMSP),Harry Reid Intl (KLAS),Wed 09:59PM CST,Wed 10:57PM PST
NKS1717,A320,Orlando Intl (KMCO),San Antonio Intl (KSAT),Wed 10:47PM EST,Thu 12:10AM CST
NKS1777,A320,Fort Lauderdale Intl (KFLL),Newark Liberty Intl (KEWR),Wed 08:52PM EST,Wed 11:15PM EST
NKS1786,A319,Chicago O'Hare Intl (KORD),Los Angeles Intl (KLAX),Wed 08:43PM CST,Wed 10:35PM PST
NKS182,A20N,Harry Reid Intl (KLAS),Chicago O'Hare Intl (KORD),Wed 06:38PM PST,Wed 11:40PM CST
NKS1846,A319,Denver Intl (KDEN),Houston Bush Int'ctl (KIAH),Wed 07:15PM MST,Wed 10:10PM CST
NKS1884,A20N,Detroit Metro Wayne Co (KDTW),New Orleans Intl (KMSY),Wed 11:08PM EST,Thu 12:31AM CST
NKS1900,A320,Rafael Hernandez (BQN / TJBQ),Orlando Intl (KMCO),Wed 10:07PM AST,Wed 11:30PM EST
NKS1967,A321,Dallas-Fort Worth Intl (KDFW),Fort Lauderdale Intl (KFLL),Wed 08:16PM CST,Wed 11:33PM EST
