City,API Output
Pittsburgh,"{'coord': {'lon': -79.9959, 'lat': 40.4406}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 278.28, 'feels_like': 278.28, 'temp_min': 276.82, 'temp_max': 279.78, 'pressure': 1027, 'humidity': 51}, 'visibility': 10000, 'wind': {'speed': 0.89, 'deg': 315, 'gust': 0.89}, 'clouds': {'all': 0}, 'dt': 1676141654, 'sys': {'type': 2, 'id': 2041090, 'country': 'US', 'sunrise': 1676117938, 'sunset': 1676155778}, 'timezone': -18000, 'id': 5206379, 'name': 'Pittsburgh', 'cod': 200}"
New York,"{'coord': {'lon': -74.006, 'lat': 40.7143}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 280.28, 'feels_like': 276.69, 'temp_min': 278.55, 'temp_max': 282.1, 'pressure': 1026, 'humidity': 39}, 'visibility': 10000, 'wind': {'speed': 6.17, 'deg': 310}, 'clouds': {'all': 0}, 'dt': 1676140896, 'sys': {'type': 2, 'id': 2008101, 'country': 'US', 'sunrise': 1676116529, 'sunset': 1676154312}, 'timezone': -18000, 'id': 5128581, 'name': 'New York', 'cod': 200}"
London,"{'coord': {'lon': -0.1257, 'lat': 51.5085}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 282.11, 'feels_like': 281.57, 'temp_min': 281.34, 'temp_max': 282.88, 'pressure': 1037, 'humidity': 78}, 'visibility': 10000, 'wind': {'speed': 1.54, 'deg': 230}, 'clouds': {'all': 100}, 'dt': 1676141186, 'sys': {'type': 2, 'id': 2075535, 'country': 'GB', 'sunrise': 1676100169, 'sunset': 1676135209}, 'timezone': 0, 'id': 2643743, 'name': 'London', 'cod': 200}"
New Delhi,"{'coord': {'lon': 77.2311, 'lat': 28.6128}, 'weather': [{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50n'}], 'base': 'stations', 'main': {'temp': 292.24, 'feels_like': 291.98, 'temp_min': 292.24, 'temp_max': 292.24, 'pressure': 1017, 'humidity': 68}, 'visibility': 2100, 'wind': {'speed': 3.6, 'deg': 310}, 'clouds': {'all': 0}, 'dt': 1676140862, 'sys': {'type': 1, 'id': 9165, 'country': 'IN', 'sunrise': 1676165545, 'sunset': 1676205503}, 'timezone': 19800, 'id': 1261481, 'name': 'New Delhi', 'cod': 200}"
Paris,"{'coord': {'lon': 2.3488, 'lat': 48.8534}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 281.73, 'feels_like': 279.9, 'temp_min': 280.35, 'temp_max': 282.43, 'pressure': 1037, 'humidity': 84}, 'visibility': 10000, 'wind': {'speed': 3.09, 'deg': 80}, 'clouds': {'all': 100}, 'dt': 1676140997, 'sys': {'type': 2, 'id': 2041230, 'country': 'FR', 'sunrise': 1676099187, 'sunset': 1676135003}, 'timezone': 3600, 'id': 2988507, 'name': 'Paris', 'cod': 200}"
Oslo,"{'coord': {'lon': 10.7461, 'lat': 59.9127}, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 271.89, 'feels_like': 271.89, 'temp_min': 270.34, 'temp_max': 274.14, 'pressure': 1025, 'humidity': 95, 'sea_level': 1025, 'grnd_level': 1022}, 'visibility': 10000, 'wind': {'speed': 0.91, 'deg': 27, 'gust': 0.87}, 'clouds': {'all': 99}, 'dt': 1676141513, 'sys': {'type': 2, 'id': 237284, 'country': 'NO', 'sunrise': 1676099210, 'sunset': 1676130950}, 'timezone': 3600, 'id': 3143244, 'name': 'Oslo', 'cod': 200}"
Bern,"{'coord': {'lon': 7.4474, 'lat': 46.9481}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 274.53, 'feels_like': 272.91, 'temp_min': 272.57, 'temp_max': 277.19, 'pressure': 1035, 'humidity': 60}, 'visibility': 10000, 'wind': {'speed': 1.54, 'deg': 120}, 'clouds': {'all': 0}, 'dt': 1676141139, 'sys': {'type': 2, 'id': 19940, 'country': 'CH', 'sunrise': 1676097711, 'sunset': 1676134032}, 'timezone': 3600, 'id': 2661552, 'name': 'Bern', 'cod': 200}"
Tokyo,"{'coord': {'lon': 139.6917, 'lat': 35.6895}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 280.54, 'feels_like': 278.47, 'temp_min': 277.93, 'temp_max': 282.38, 'pressure': 1023, 'humidity': 63}, 'visibility': 10000, 'wind': {'speed': 3.09, 'deg': 30}, 'clouds': {'all': 75}, 'dt': 1676141144, 'sys': {'type': 2, 'id': 2001249, 'country': 'JP', 'sunrise': 1676151138, 'sunset': 1676189928}, 'timezone': 32400, 'id': 1850144, 'name': 'Tokyo', 'cod': 200}"
Sydney,"{'coord': {'lon': 151.2073, 'lat': -33.8679}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}], 'base': 'stations', 'main': {'temp': 295.57, 'feels_like': 295.23, 'temp_min': 289.84, 'temp_max': 297.76, 'pressure': 1000, 'humidity': 52}, 'visibility': 10000, 'wind': {'speed': 9.26, 'deg': 250}, 'rain': {'1h': 0.18}, 'clouds': {'all': 0}, 'dt': 1676141347, 'sys': {'type': 2, 'id': 2002865, 'country': 'AU', 'sunrise': 1676143618, 'sunset': 1676191921}, 'timezone': 39600, 'id': 2147714, 'name': 'Sydney', 'cod': 200}"
Los Angeles,"{'coord': {'lon': -118.2437, 'lat': 34.0522}, 'weather': [{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}], 'base': 'stations', 'main': {'temp': 287.36, 'feels_like': 286.48, 'temp_min': 285.64, 'temp_max': 289.8, 'pressure': 1014, 'humidity': 63}, 'visibility': 8047, 'wind': {'speed': 5.66, 'deg': 180}, 'clouds': {'all': 100}, 'dt': 1676141578, 'sys': {'type': 1, 'id': 3694, 'country': 'US', 'sunrise': 1676126517, 'sunset': 1676165558}, 'timezone': -28800, 'id': 5368361, 'name': 'Los Angeles', 'cod': 200}"
